| Dataset Name | Year Published | Chart Types Included | Synthetically Generated? | Underlying Data Linked/Included? | Bounding Boxes for All Elements Included? | Dataset Access Link | Codebase Link | Paper Title | Contains Histograms? | Contains Contour Plots (or 2D Histograms)? | Contains Multi-panel Plots (Sub-figures)? |
| MathVista | 2024 | Real images, synthetic scenes, charts, plots, scientific figures | Partially (mixes existing datasets) | Yes (annotations include logical forms, programs, textual solutions) | Partially (bounding boxes provided for some subsets) | `https://mathvista.github.io/` | `https://mathvista.github.io/` | "MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts" | Not specified | Not specified | Not specified |
| mChartQABench | 2026 | Charts with complex color patterns, structures, and textless data | No (consolidated from existing datasets) | Yes (reasoning aligns visual and textual data) | Not specified | Not specified | Not specified | "mChartQA and mChartQABench: A multimodal-only solution for complex chart question-answering" | Not specified | Not specified | Not specified |
| MultiChartQA-R | 2025 | 14 chart types | Partially (synthetic chart-to-code generated) | Yes (chart-code pairs) | Not specified | Not specified | Not specified | "MultiChartQA-R: A Benchmark for Multi-Chart Question Answering in Real-World Reasoning Scenarios" | Not specified | Not specified | Yes (targets multi-chart analysis / cross-chart comparisons) |
| Multimodal ArXiv | 2024 | Abstract figures, geometry shapes, scientific plots | Partially (GPT-4V generated QAs) | Not specified | Not specified | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models" | Not specified | Not specified | Not specified |
| MV Dataset | 2020 | Multiple-view visualizations | Not specified | No | Yes | Not specified | Not specified | "Composition and configuration patterns in multiple-view visualizations" | Not specified | Not specified | Yes (multiple-view visualizations) |
| OpenCQA | 2022 | Charts | Not specified | No | Not specified | Not specified | Not specified | "OpenCQA: Open-ended Question Answering with Charts" | Not specified | Not specified | Not specified |
| PlotQA | 2020 | Scientific plots | Partially (generated from real-world data sources) | Yes (structured table) | Not specified | Not specified | Not specified | "PlotQA: Reasoning over Scientific Plots" | Not specified | Not specified | Not specified |
| R1-Onevision dataset | 2025 | Diverse images (formal textural representations) | Not specified | Yes (formal textural representations) | Not specified | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "R1-Onevision: Advancing Generalized Multimodal Reasoning through Cross-Modal Formalization" | Not specified | Not specified | Not specified |
| RefChartQA | 2025 | Chart images | Not specified | Not specified | Yes (grounding at multiple granularities) | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "RefChartQA: Grounding Visual Answer on Chart Images through Instruction Tuning" | Not specified | Not specified | Not specified |
| SciCap | 2021 | Graph plots, scientific figures | No (extracted from arXiv) | No | Not specified | "this https URL" (URL omitted in source) | Not specified | "SciCap: Generating Captions for Scientific Figures" | Not specified | Not specified | Partially (sub-figures identified during preprocessing) |
| SciFIBench | 2024 | Scientific figures | No (curated from arXiv) | Not specified | Not specified | Not specified | Not specified | "SciFIBench: Benchmarking Large Multimodal Models for Scientific Figure Interpretation" | Not specified | Not specified | Not specified |
| SciGraphQA | 2023 | Academic graphs | Partially (synthetic QA dialogues for non-synthetic charts) | Yes (serialized data tables) | Not specified | Open-sourced | Open-sourced | "SciGraphQA: A Large-Scale Synthetic Multi-Turn Question-Answering Dataset for Scientific Graphs" | Not specified | Not specified | Not specified |
| SlideVQA | 2023 | Slide deck images (text, visual, layout) | No | Yes (arithmetic expressions) | Not specified | Not specified | Not specified | "SlideVQA: A Dataset for Document Visual Question Answering on Multiple Images" | Not specified | Not specified | Yes (multiple images per slide deck) |
| SPIQA | 2024 | Plots, charts, tables, schematic diagrams, result visualizations | No (scientific research articles) | Not specified | Not specified | Not specified | Not specified | "SPIQA: A Dataset for Multimodal Question Answering on Scientific Papers" | Not specified | Not specified | Yes (multiple images) |
| TQA | 2017 | Diagrams, images | No | Not specified | Not specified | Not specified | Not specified | "Are You Smarter Than a Sixth Grader? Textbook Question Answering for Multimodal Machine Comprehension" | Not specified | Not specified | Not specified |
| VIS30K | 2021 | Figures and tables | Not specified | No | No | Not specified | Not specified | "VIS30K: A collection of figures and tables from IEEE visualization conference publications" | Not specified | Not specified | Not specified |
| VisImages | 2022 | Area, bar, circle, point, statistics, text, etc. | Not specified | Yes (CSV) | Yes | Not specified | Not specified | "VisImages: A fine-grained expert-annotated visualization dataset" | Not specified | Not specified | Not specified |
| VisText | 2023 | Charts | Not specified | Yes (backing data table, scene graph) | Not specified | Not specified | Not specified | "VisText: A Benchmark for Semantically Rich Chart Captioning" | Not specified | Not specified | Not specified |
| Viziometrics | 2016 | Equation, diagram, photo, plot, table | Not specified | No | No | Not specified | Not specified | "Viziometrics: Analyzing visual information in the scientific literature" | Not specified | Not specified | No (compound figures were dismantled) |

**Notes regarding new column ("Contains Multi-panel Plots (Sub-figures)?"):** 
*   **"Yes"** is indicated if the source explicitly references the dataset containing multiple views/compound figures (e.g., MV Dataset) or providing evaluation tasks requiring multi-chart/multi-image cross-referencing setups (e.g., MultiChartQA-R, SlideVQA, SPIQA).
*   **"No"** is used where sources state an exhaustive list of visualization types (e.g. FigureQA only has line, dot-line, bar, pie) clearly excluding multi-panel setups, or when the dataset specifically dismantled compound figures during processing (e.g., Viziometrics). 
*   **"Partially"** denotes instances like SciCap where sub-figures were identified during preprocessing but the format of the final instances is not explicitly mapped.
*   **"Not specified"** is used when the sources broadly describe the contents (e.g., "various chart types") without mentioning panels, sub-figures, or multi-view plots.
