Name,Dataset Link,Date,has types?,has individual aspects annotated?,Links to original Data which is potentially different from plot,paper name,citations
MapQA,https://github.com/OSU-slatelab/MapQA?tab=readme-ov-file,2022,maps,yes,yes,MapQA: A Dataset for Question Answering on Choropleth Maps,chang_mapqa_2022
MathVista (PaperQA),https://huggingface.co/datasets/AI4Math/MathVista,2023,"abstract scene, bar chart, document image, function plot, geometry diagram, heatmap chart, line plot, map chart, medical image, natural image, pie chart, puzzle test, radar chart, scatter plot, scientific figure, synthetic scene, table, word cloud",no,no,MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts,lu_mathvista_2023
SciGraphQA,https://github.com/findalexli/SciGraphQA,2023,"tables, graphs, flowcharts",no,no,SciGraphQA: A Large-Scale Synthetic Multi-Turn Question-Answering Dataset for Scientific Graphs,li_scigraphqa_2023
VisText,https://github.com/mitvis/vistext,2023,"bar, line, area",partial,yes,VisText: A Benchmark for Semantically Rich Chart Captioning,tang_vistext_2023
Chart-Info,https://github.com/kdavila/CHART_Info_2024,2019-2024,"bar, line, others",yes,partial,"ICDAR 2019 Competition on Harvesting Raw Tables from Infographics (CHART-Infographics); CHART-Info 2024: A Dataset for Chart Analysis and Recognition; ICDAR 2023 Competition on Harvesting Answers and Raw Tables from Infographics (CHART-Infographics); Icpr 2022: Challenge on harvesting raw tables from infographics (chart-infographics); Competition on Harvesting Raw Tables from Infographics
","davila2022icpr,davila_chart-info_2025,davila_icdar_2019,icdar2023,icpr2020"
DocVQA,https://www.docvqa.org/datasets,2021,"bar, pie, line",no,yes,DocVQA: A Dataset for VQA on Document Images,mathew_docvqa_2021
ChartFC,https://github.com/mubasharaak/ChartFC_chartBERT,2023,bar charts,yes,yes,Reading and Reasoning over Chart Images for Evidence-based Automated Fact-Checking,akhtar_reading_2023
RealCQA,https://huggingface.co/datasets/sal4ahm/RealCQA,2023,"vertical bar, horizontal bar, line, scatter, vertical box",yes,yes,RealCQA: Scientific Chart Question Answering as a Test-Bed for First-Order Logic,ahmed_realcqa_2023
StructChart,https://github.com/Alpha-Innovator/ChartVLM,2023,"3D-Bar, histogram, area_chart, line_chart, bar_chart, line_chart_num, bar_chart_num, multi-axes, box, pie_chart, bubble, radar, candlestick, rings, rose, funnel, treemap, heatmap",no,yes,"StructChart: On the Schema, Metric, and Augmentation for Visual Chart Understanding",xia_structchart_2024
ChartSumm,https://github.com/pranonrahman/ChartSumm,2023,"bar, pie, line",no,no,ChartSumm: A Comprehensive Benchmark for Automatic Chart Summarization of Long and Short Summaries,rahman_chartsumm_2023
ChartOCR,https://huggingface.co/datasets/niups/DeepRuleDataset/tree/main,2019,"bar, pie, line",partial,no,ChartOCR: Data Extraction From Charts Images via a Deep Hybrid Framework,luo_chartocr_2021
LineEX,https://github.com/Shiva-sankaran/LineEX?tab=readme-ov-file,2023,line charts,yes,yes,LineEX: Data Extraction from Scientific Line Charts,p_lineex_2023
SciCap,https://github.com/tingyaohsu/SciCap,2021,"graph plots, flowcharts (also called node diagrams), equations (also called algorithms), bar plots, scatter plots, tables, and “other.”",no,no,SciCap: Generating Captions for Scientific Figures,hsu_scicap_2021
AutoChart,https://gitlab.com/bottle_shop/snlg/chart/autochart,2021,"scatter plots, line charts, vertical and horizontal bar charts",yes,no,AutoChart: A Dataset for Chart-to-Text Generation Task,zhu_autochart_2021
Unichart,https://deepwiki.com/vis-nlp/UniChart,2023,"bar, pie, line",partial,no,UniChart: A Universal Vision-language Pretrained Model for Chart Comprehension and Reasoning,masry_unichart_2023
PlotQA,https://github.com/NiteshMethani/PlotQA/blob/master/PlotQA_Dataset.md,2020,"bar, line, dot",yes,yes,PlotQA: Reasoning over Scientific Plots,methani_plotqa_2020
MatCha,https://huggingface.co/google/matcha-plotqa-v2,2023,"charts with math equations, line, bar, plot,",no,yes,MatCha: Enhancing Visual Language Pretraining with Math Reasoning and Chart Derendering,liu_matcha_2023
AI2D,https://prior.allenai.org/projects/diagram-understanding,2016,multiple choice q's with diagrams,no,no,A Diagram Is Worth A Dozen Images,kembhavi_diagram_2016
TQA,https://prior.allenai.org/projects/tqa,2017,word problems with diagrams and natural images,yes,Yes,Are You Smarter Than a Sixth Grader? Textbook Question Answering for Multimodal Machine Comprehension,kembhavi_are_2017
